trade_date,open,high,low,close,amount
20200701,12.79,13.15,12.74,13.12,2202800.843
20200630,12.83,12.88,12.72,12.8,1199181.601
20200629,12.92,12.97,12.71,12.8,1330678.288
20200624,12.64,12.88,12.6,12.8,1946329.095
20200623,12.65,12.69,12.52,12.6,1248046.646
20200622,12.74,12.76,12.62,12.64,1671023.278
20200619,12.73,12.84,12.61,12.8,1954584.919
20200618,12.76,12.8,12.59,12.76,1419972.017
20200617,12.89,12.92,12.76,12.85,918251.153
20200616,12.9,12.99,12.86,12.89,927043.687
20200615,12.85,12.97,12.8,12.82,850767.506
20200612,12.9,13.02,12.87,12.99,1331618.728
20200611,13.38,13.39,13,13.08,1774199.978
20200610,13.71,13.71,13.4,13.49,781995.749
20200609,13.64,13.73,13.53,13.67,646895.834
20200608,13.68,13.85,13.58,13.62,802115.792
20200605,13.6,13.62,13.43,13.59,517232.135
20200604,13.53,13.64,13.41,13.57,788707.63
20200603,13.64,13.88,13.5,13.54,1308782.294
20200602,13.29,13.63,13.28,13.55,1194375.822
20200601,13.1,13.39,13.08,13.32,1173619.006
20200529,13.01,13.04,12.92,13,594502.123
20200528,12.87,13.18,12.81,13.07,1255226.999
20200527,13.05,13.19,12.96,13,630305.864
20200526,13.02,13.07,12.94,13.04,515451.849
20200525,12.97,12.98,12.76,12.96,528769.352
20200522,13.33,13.34,12.92,12.92,1119433.491
20200521,13.52,13.57,13.36,13.4,742797.057
20200520,13.38,13.62,13.27,13.51,929928.885
20200519,13.41,13.45,13.27,13.36,801755.671
20200518,13.2,13.34,13.12,13.2,843479.669
20200515,13.39,13.43,13.14,13.23,1004313.267
20200514,13.55,13.59,13.22,13.3,1259440.848
20200513,13.75,13.78,13.53,13.63,871062.043
20200512,13.95,14.05,13.72,13.79,772109.502
20200511,13.92,14.13,13.9,14,859156.594
20200508,13.76,14.02,13.68,13.95,1297924.588
20200507,13.76,13.76,13.6,13.69,904349.531
20200506,13.76,13.89,13.61,13.77,1382727.481
20200430,14.02,14.32,13.88,13.93,1155968.238
20200429,13.48,14.1,13.45,14.02,1541638.203
20200428,13.45,13.56,13.27,13.52,1038718.08
20200427,13.3,13.64,13.25,13.5,1263809.737
20200424,13.17,13.28,13.11,13.24,747473.77
20200423,13.23,13.31,13.11,13.23,855052.11
20200422,13.37,13.42,13.16,13.23,1368222.854
20200421,13.3,13.7,13.3,13.45,2861879.086
20200420,12.86,13.05,12.77,12.99,1058524.019
20200417,12.77,13.04,12.65,12.89,1713215.766
20200416,12.79,12.79,12.54,12.68,997623.816
20200415,12.86,12.93,12.78,12.87,843649.273
20200414,12.65,12.86,12.57,12.86,874856.562
20200413,12.67,12.71,12.47,12.59,562008.05
20200410,12.76,12.98,12.65,12.79,853689.95
20200409,12.88,12.89,12.72,12.74,522027.888
20200408,12.88,12.92,12.72,12.78,676604.872
20200407,12.89,12.94,12.81,12.88,1121200.115
20200403,12.82,12.89,12.55,12.61,1047282.4
20200402,12.75,12.97,12.66,12.97,663197.628
20200401,12.86,13.13,12.82,12.89,676070.117
20200331,13.05,13.09,12.78,12.8,662915.471
20200330,12.85,13.04,12.76,12.94,852956.24
20200327,13.25,13.38,13.08,13.15,861618.663
20200326,12.78,13.34,12.72,13.06,1408651.057
20200325,12.88,13.07,12.7,12.87,1467534.956
20200324,12.4,12.68,12.27,12.61,1472909.399
20200323,12,12.35,11.93,12.15,1300469.494
20200320,12.4,12.68,12.26,12.52,1967487.818
20200319,12.68,12.74,11.91,12.23,2313863.663
20200318,13.41,13.55,12.65,12.71,1816836.893
20200317,13.75,13.97,13.13,13.41,1582506.075
20200316,14.45,14.46,13.75,13.75,1975824.191
20200313,13.9,14.58,13.9,14.52,1669009.835
20200312,14.65,14.84,14.53,14.68,1447436.641
20200311,14.77,14.88,14.62,14.69,1201250.682
20200310,14.38,14.85,14.38,14.76,1709084.565
20200309,14.71,14.73,14.42,14.45,2420392.13
20200306,15.18,15.27,15.02,15.03,1858691.259
20200305,14.8,15.64,14.73,15.39,4089493.523
20200304,14.68,14.78,14.51,14.69,1261123.063
20200303,14.96,14.99,14.63,14.72,1705816.271
20200302,14.55,14.95,14.46,14.79,1647432.269
20200228,14.85,15.04,14.46,14.5,1906892.413
20200227,14.96,15.15,14.89,15.11,1464605.739
20200226,14.77,15.27,14.7,14.99,1769612.245
20200225,15,15.13,14.78,15.04,1710369.786
20200224,15.46,15.46,15.15,15.23,1820183.854
20200221,15.49,15.72,15.45,15.58,1546692.93
20200220,15.27,15.62,15.1,15.59,1897923.029
20200219,15.1,15.37,15.08,15.24,1333730.218
20200218,15.33,15.33,15.01,15.2,1478274.222
20200217,15.04,15.37,14.93,15.37,2337993.586
20200214,14.75,15.14,14.7,15.03,2253906.452
20200213,14.71,14.88,14.61,14.65,1491327.713
20200212,14.79,14.82,14.6,14.77,1573229.042
20200211,14.6,14.94,14.56,14.79,2077194.138
20200210,14.51,14.53,14.3,14.5,1931983.482
20200207,14.6,14.69,14.41,14.62,1345053.255
20200206,14.81,14.87,14.51,14.77,1740107.625
20200205,14.59,14.89,14.32,14.63,2177632.043
20200204,14.05,14.66,14.02,14.6,2442932.842
20200203,13.99,14.7,13.99,13.99,3201454.164
20200123,15.92,15.92,15.39,15.54,1723394.336
20200122,15.92,16.16,15.71,16.09,1150933.398
20200121,16.34,16.34,15.93,16,1442171.431
20200120,16.43,16.61,16.35,16.45,1226464.649
20200117,16.38,16.55,16.35,16.39,995909.007
20200116,16.52,16.57,16.2,16.33,1678888.507
20200115,16.79,16.86,16.45,16.52,1424889.228
20200114,16.99,17.27,16.76,16.76,2217608.852
20200113,16.75,17.03,16.61,16.99,1468271.683
20200110,16.79,16.81,16.52,16.69,975154.818
20200109,16.81,16.93,16.53,16.79,1725326.806
20200108,17,17.05,16.63,16.66,1423608.811
20200107,17.13,17.28,16.95,17.15,1247047.135
20200106,17.01,17.34,16.91,17.07,1477930.193
20200103,16.94,17.31,16.92,17.18,1914495.474
20200102,16.65,16.95,16.55,16.87,2571196.482
20191231,16.57,16.63,16.31,16.45,1154704.348
20191230,16.46,16.63,16.1,16.57,1603152.786
20191227,16.53,16.93,16.43,16.63,1741473.179
20191226,16.34,16.48,16.32,16.47,610381.757
20191225,16.45,16.56,16.24,16.3,679664.596
20191224,16.23,16.5,16.23,16.4,752351.618
20191223,16.68,16.68,16.17,16.24,1173372.08
20191220,16.55,16.68,16.44,16.59,1067869.779
20191219,16.55,16.74,16.44,16.55,1119925.969
20191218,16.43,16.66,16.41,16.46,1317608.543
20191217,16,16.63,15.98,16.5,1969891.323
20191216,16.12,16.14,15.87,16.13,1262802.471
20191213,15.85,16.12,15.77,16.12,1680707.282
20191212,15.66,15.67,15.53,15.6,747519.511
20191211,15.38,15.68,15.3,15.66,1351786.53
20191210,15.36,15.38,15.25,15.33,851377.532
20191209,15.62,15.62,15.35,15.41,935135.952
