trade_date,open,high,low,close,amount
20191231,34.6,36.28,34.42,35.39,4805169.346
20191230,33.38,34.63,33.21,34.35,2953552.534
20191227,34.01,34.28,33.5,33.64,2167929.566
20191226,33.78,34.05,33.45,33.9,1539565.406
20191225,32.93,34.21,32.83,33.75,2781527.106
20191224,32.41,33.24,32.2,33.12,2202159.251
20191223,33.1,33.11,32.21,32.26,2386749.626
20191220,34.2,34.51,33.34,33.37,3045268.935
20191219,34.02,34.8,33.81,34.49,3035444.274
20191218,33.56,35.19,33.41,34.25,4523008.228
20191217,33.62,33.95,33.2,33.59,3128343.459
20191216,33.4,33.7,32.89,33.55,2956173.835
20191213,33.31,33.54,32.61,33.2,3486987.057
20191212,31.85,33.11,31.66,32.85,3940298.431
20191211,31.98,32.36,31.65,31.85,1251846.966
20191210,31.57,32.3,31.34,32.08,2033936.781
20191209,31.9,31.94,31.5,31.6,1393796.231
20191206,31.95,32.1,31.45,31.91,1531616.976
20191205,31.19,32.15,31.04,31.95,2711033.384
20191204,30.31,31.3,30.31,31.18,1837123.102
20191203,30.41,30.72,30.21,30.67,1034842.724
20191202,30.68,30.79,30.42,30.57,1000101.325
20191129,30.6,30.71,30.15,30.71,1151141.799
20191128,30.35,30.7,30.31,30.65,1130999.327
20191127,30.4,30.64,30.05,30.46,1294673.487
20191126,30.41,30.75,30.13,30.4,1203484.727
20191125,30.29,30.44,28.96,30.41,1959900.943
20191122,31.1,31.63,30.45,30.7,2001981.562
20191121,31.18,31.36,30.93,31.09,1459622.44
20191120,31.9,31.9,31.25,31.36,1414881.132
20191119,31.36,31.97,31.02,31.89,2088160.044
20191118,31.25,31.61,30.9,31.36,1415083.444
20191115,32.65,32.65,31.3,31.34,3396414.89
20191114,32.56,32.86,32.42,32.77,1458327.215
20191113,32.4,32.75,32.1,32.56,1195172.686
20191112,32.21,32.52,31.9,32.49,1473292.113
20191111,32.48,32.76,32.2,32.37,1578594.085
20191108,33.67,33.73,32.74,32.85,2121485.352
20191107,33.16,33.52,32.98,33.33,1419079.169
20191106,34.14,34.37,33.08,33.22,2696994.585
20191105,34.4,34.72,34.08,34.24,2412213.429
20191104,34.18,35.18,34.05,34.48,3392747.307
20191101,33.16,34.3,33.03,34,2861942.989
20191031,33.33,33.99,32.99,33.4,2201516.026
20191030,33.32,34.25,32.86,33.23,2450679.098
20191029,33,34.76,32.85,33.74,4303889.163
20191028,33.82,33.95,32.89,33.64,2974951.12
20191025,32.2,33.35,32.04,33.35,2893166.093
20191024,32.1,32.6,31.91,32.2,1155979.619
20191023,32.09,32.83,31.9,32.32,2042622.858
20191022,32.1,32.34,31.7,32.16,1415152.023
20191021,32.46,32.46,31.58,31.98,1652259.288
20191018,32.15,33.19,32.02,32.53,2784781.632
20191017,32,32.29,31.76,32.16,1286731.596
20191016,32.22,32.6,31.96,32.01,1542039.276
20191015,32.99,33.02,32.02,32.05,1844906.001
20191014,33.55,33.9,32.71,32.96,3288079.64
20191011,33.12,33.24,32.35,32.9,2148532.74
20191010,32.2,33.2,31.93,32.87,2937472.726
